GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP006339	0	0	0.008	0.195	0.558	0.944	0.698	0.001	0	0.25	0.793	0.528	0.573	0.223	0.956	0.082	0.841	0.069	""	""
AGAP005987	0	0	0	0.255	0.01	0.292	0.009	0.009	0	0.57	0	0.036	0	0.038	0	0	0	0	""	""
AGAP006935	0	0.003	0	0.5	0.027	0.323	0.095	0.363	0.082	0.015	0.005	0.005	0.001	0	0	0.01	0.001	0	""	""
AGAP010313	0	0	0	0	0	0	0	0	0	0.471	0.323	0.497	0.277	0.069	0.029	0	0.191	0	""	serine/threonine-protein kinase ATR [Source:VB Community Annotation]
AGAP006729	0	0.001	0	0	0.023	0	0.665	0	0	0	0	0	0	0.001	0.089	0.836	0	0	""	Ester hydrolase C11orf54 [Source:VB Community Annotation]
AGAP005978	0	0.059	0	0	0	0.125	0.572	0.177	0.036	0.536	0	0.916	0	0.36	0	0.008	0	0	""	zinc finger and SCAN domain containing 2 [Source:VB Community Annotation]
AGAP010886	0	0.083	0	0.004	0.404	0.905	0.112	0.484	0.299	0.694	0.805	0.807	0.339	0.341	0.073	0.445	0.027	0	""	""
AGAP013510	0	0.028	0.928	0	0.005	0.639	0.023	0.457	0.699	0.016	0.013	0	0	0.005	0.003	0.101	0.877	0	""	""
AGAP005898	0	0	0.326	0	0	0.891	0.13	0.917	0.194	0.093	0.011	0.003	0	0.001	0	0.535	0.016	0.001	""	nemo like kinase [Source:VB Community Annotation]
AGAP008288	0	0.74	0	0	0	0.139	0.877	0.458	0	0.057	0	0.202	0	0.001	0	0	0	0	TIM	timeless [Source:VB Community Annotation]
AGAP002041	0	0.008	0	0.165	0.724	0.279	0.346	0.828	0.177	0.003	0.023	0.02	0.066	0.016	0.056	0.01	0.757	0	""	""
AGAP001956	0	0.508	0.832	0.271	0	0	0	0	0	0.161	0.06	0.511	0.455	0.129	0.055	0	0	0	""	Niemann-Pick Type C-2 [Source:VB Community Annotation]
AGAP000792	0	0	0	0.003	0	0.098	0.178	0.218	0.207	0	0.022	0.11	0.236	0	0.001	0.012	0	0.009	""	Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q7QE71]
AGAP003373	0	0	0.218	0.246	0.166	0	0	0	0	0.008	0.865	0.03	0.872	0.852	0.116	0.037	0	0	SCRB17	Class B Scavenger Receptor (CD36 domain) [Source:VB Community Annotation]
AGAP003933	0	0.029	0	0.241	0.224	0.576	0.691	0.641	0.309	0.352	0.163	0.332	0.17	0.477	0.13	0.055	0.858	0	""	""
AGAP000562	0	0.001	0.617	0.217	0.004	0.646	0.04	0.785	0.943	0.001	0.094	0.002	0.072	0	0.003	0.106	0.051	0	Moe	Moesin/ezrin/radixin homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7PS12]
AGAP008083	0	0.195	0	0	0.004	0.295	0.001	0.003	0.064	0.281	0.187	0.035	0.696	0.072	0.119	0.188	0.271	0	""	""
AGAP011318	0	0	0	0.274	0.067	0.674	0.713	0.34	0.083	0.98	0.032	0.994	0.073	0.294	0.014	0.05	0.767	0	""	Synaptogyrin [Source:VB Community Annotation]
AGAP006699	0	0	0.688	0	0.237	0	0.551	0.341	0.293	0.096	0.085	0.128	0.024	0.002	0.387	0	0	0	""	hairy and enhancer of split, invertebrate [Source:VB Community Annotation]
AGAP004870	0	0.001	0.007	0.764	0.363	0.001	0.333	0.544	0.23	0.006	0.003	0.002	0.001	0	0	0	0	0	""	tripeptidyl-peptidase II [Source:VB Community Annotation]
AGAP006478	0	0	0.374	0	0	0.196	0.03	0.102	0.06	0	0.001	0	0.002	0	0	0.025	0	0.933	""	Synaptic vesicle membrane protein VAT-1 homolog-like [Source:VB Community Annotation]
AGAP005910	0	0	0.624	0	0	0.002	0.049	0.032	0	0.677	0.408	0.903	0.311	0.72	0.199	0.091	0.82	0.225	APG18B	autophagy related gene [Source:VB Community Annotation]
AGAP008486	0	0	0	0.007	0	0.043	0.521	0.726	0.643	0.08	0.422	0.263	0.702	0.847	0.479	0.213	0.114	0	""	Palmitoyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7Q4M4]
AGAP005963	0	0	0.264	0	0	0.349	0.82	0.482	0.153	0.046	0.693	0.029	0.806	0.107	0.549	0.284	0.635	0	""	""
AGAP028513	0	0	0	0	0.439	0.007	0.599	0.344	0.531	0.9	0.088	0.337	0.004	0.821	0.035	0	0	0.163	""	""
AGAP005711	0	0.91	0	0	0	0	0.187	0.018	0	0.002	0	0.502	0.311	0.034	0.008	0.033	0.93	0.883	CLK	clock [Source:VB Community Annotation]
AGAP012070	0	0.05	0	0.985	0.444	0.366	0.355	0.828	0.912	0	0.769	0	0.932	0	0.59	0.072	0.995	0	""	anaplastic lymphoma kinase [Source:VB Community Annotation]
AGAP006480	0	0	0.048	0.432	0.001	0.891	0	0	0	0.169	0.018	0.001	0.985			0.643	0	0	""	""
AGAP002790	0	0.035	0	0.06	0.998	0.794	0.951	0.628	0.12	0.14	0.882	0.057	0.63	0.772	0.53	0.12	0.612	0	""	amyloid beta A4 protein [Source:VB Community Annotation]
AGAP007752	0	0	0	0.268	0.017	0	0.009	0	0	0.094	0.087	0.819	0.649	0.813	0.642	0.002	0	0	""	""
AGAP000065	0	0.03	0	0.128	0.004	0.174	0.881	0.074	0.006	0.801	0.801	0.953	0.298	0.975	0.601	0.78	0.157	0	""	""
AGAP003318	0	0	0	0.218	0.132	0.409	0.121	0.539	0.297	0.192	0.483	0.215	0.28	0.343	0.334	0.071	0.731	0	""	""
AGAP006433	0	0.329	0.861	0.398	0	0.014	0.003	0	0	0.543	0.019	0.452	0.545	0.472	0.004	0.014	0	0.662	""	""
AGAP000461	0	0.02	0	0.001	0.667	0.387	0.535	0.631	0.084	0.001	0.776	0	0.698	0	0.989	0.223	0.777	0	""	Odz, odd Oz/ten-m homolog 2 (Drosophila) [Source:VB Community Annotation]
AGAP004209	0	0.001	0	0.474	0.223	0.7	0.895	0.803	0.358	0.09	0.916	0.476	0.219	0.392	0.552	0.228	0.786	0	""	diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]
AGAP013761	0	0.001	0.038	0.009	0	0.36	0.004	0.103	0.102	0.462	0.022	0.612	0.086	0.137	0.644	0.023	0	0	""	""
AGAP002818	0	0	0	0.122	0.002	0.868	0.319	0.676	0.052	0.548	0.719	0.525	0.025	0.635	0.084	0.006	0.494	0	""	""
AGAP008538	0	0.002	0	0	0.485	0.723	0.242	0.079	0	0.172	0.734	0.131	0.811	0.678	0.306	0.332	0.934	0	""	""
AGAP005826	0	0	0.963	0	0	0.921	0.446	0.681	0.02	0.198	0	0.683	0	0.025	0	0.135	0.34	0	""	""
AGAP008862	0	0	0.803	0.433	0	0.002	0.472	0.003	0	0.064	0.001	0.04	0.001	0.006	0	0.12	0.452	0.649	""	aubergine [Source:VB Community Annotation]
AGAP003400	0	0.019	0	0.001	0.781	0.671	0.979	0.622	0.361	0.736	0.002	0.52	0.143	0.337	0	0.098	0.639	0	""	""
AGAP000232	0	0	0.002	0.205	0.825	0.34	0.239	0.487	0.158	0.557	0.5	0.799	0.285	0.999	0.352	0.081	0.948	0	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP005241	0	0.232	0.673	0.067	0	0.858	0.065	0	0.001	0.682	0.041	0.982	0.2	0.674	0.351	0	0	0.001	""	""
AGAP000955	0	0.183	0	0	0	0.008	0.26	0.669	0.369	0.533	0.069	0.306	0.028	0.15	0.016	0.026	0	0.486	""	""
AGAP001899	0	0.081	0.264	0.319	0	0.85	0	0	0.001	0.334	0.835	0.229	0.897	0.455	0.96	0.9	0	0	""	fatty acid synthase, animal type [Source:VB Community Annotation]
AGAP004033	0	0.003	0	0.057	0.724	0.846	0.823	0.346	0.081	0.209	0.709	0.498	0.357	0.91	0.109	0.16	0.65	0	""	""
AGAP000364	0	0.479	0	0	0	0.57	0.401	0.288	0.072	0.197	0.949	0.047	0.778	0.085	0.837	0.6	0.842	0.047	""	protein stoned-A [Source:VB Community Annotation]
AGAP000449	0	0.707	0	0	0.08	0.151	0.25	0.764	0.192	0.496	0.52	0.472	0.437	0.499	0.524	0.834	0.995	0	""	""
AGAP000203	0	0.001	0	0.602	0	0.609	0.836	0.797	0.415	0.653	0.387	0.351	0.577	0.687	0.068	0.874	0.799	0	""	inositol-1,4,5-trisphosphate 5-phosphatase [Source:VB Community Annotation]
AGAP005845	0	0	0.002	0.254	0.729	0	0.078	0	0.002	0.508	0.014	0.742	0.06	0.484	0.781	0.001	0.163	0.088	""	V-type H+-transporting ATPase subunit C [Source:VB Community Annotation]
AGAP003638	0	0	0.056	0.002	0	0.015	0.754	0.004	0.016	0.229	0.001	0.16	0.008	0.001	0.171	0.602	0	0.001	""	""
AGAP006091	0	0	0.432	0.004	0.009	0.109	0.039	0	0	0.074	0.376	0.117	0.43	0.001	0.027	0.088	0.208	0	""	""
AGAP005254	0	0	0	0.817	0.014	0.917	0.62	0.006	0	0.34	0.271	0.192	0.569	0.295	0.396	0.134	0.792	0	""	""
AGAP009475	0	0.004	0.163	0.639	0.162	0.645	0.068	0.532	0.439	0.535	0.615	0.281	0.352	0.135	0.238	0	0.242	0	""	""
AGAP001526	0	0	0.249	0.378	0.573	0.393	0.291	0.016	0.143	0.466	0.04	0.555	0.531	0.494	0.621	0.015	0	0.003	""	RIO kinase 2 [Source:VB Community Annotation]
AGAP007127	0	0	0	0.108	0.686	0.961	0.982	0.135	0.004	0.245	0.34	0.355	0.369	0.383	0.7	0.062	0.775	0	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP011106	0	0.046	0.895	0	0	0.002	0.009	0.008	0.033			0.054	0.011	0.031	0.006	0	0	0	""	""
AGAP029047	0	0.531	0	0.15	0.569	0.587	0.695	0.736	0.37	0.116	0.853	0.279	0.899	0.177	0.874	0.821	0.945	0.001	""	""
AGAP006756	0	0	0	0.009	0.096	0	0	0	0	0.123	0.284	0.004	0.053	0.031	0.186	0.008	0.192	0	""	""
AGAP000805	0	0	0	0.18	0.661	0.118	0.092	0.839	0.487	0.444	0.927	0.436	0.907	0.71	0.721	0.002	0.884	0	""	BTB/POZ domain-containing protein KCTD16 [Source:VB Community Annotation]
AGAP001474	0	0.128	0	0.382	0.002	0.83	0	0.27	0.077	0.407	0.132	0.068	0.025	0.027	0.006	0	0.044	0.632	MSN	myosuppressin [Source:VB Community Annotation]
AGAP002089	0	0.076	0	0	0.894	0.293	0	0	0	0.371	0.389	0.013	0.042	0.037	0.034	0.872	0.115	0	""	""
AGAP005563	0	0.079	0.133	0.332	0	0.016	0	0	0.001	0.129	0.825	0.288	0.88	0.003	0.165	0.001	0	0.181	Tret1	Facilitated trehalose transporter Tret1 [Source:UniProtKB/Swiss-Prot;Acc:Q7PIR5]
AGAP001883	0	0.899	0.773	0	0	0.367	0.785	0.542	0.518	0.055	0	0.003	0	0.003	0	0.618	0.089	0.002	""	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]
AGAP005079	0	0	0	0.104	0	0.079	0.004	0	0	0.026	0	1	0.002	0.111	0	0.149	0	0	""	guanine nucleotide-binding protein G(q) alpha subunit [Source:VB Community Annotation]
AGAP006434	0	0.385	0.329	0.136	0	0.029	0.033	0	0	0.992	0.016	0.483	0.43	0.681	0.04	0	0	0.498	""	""
AGAP013362	0	0.36	0.158	0.077	0.279	0.89	0.198	0.073	0.001	0.847	0	0.975	0	0.742	0	0	0.029	0.273	""	""
AGAP004883	0	0.006	0.122	0.377	0	0.121	0	0	0	0.01	0	0.47	0.083	0.912	0.404	0	0	0.009	""	""
AGAP009477	0	0.114	0.004	0.098	0	0.658	0.053	0.555	0.625	0.65	0.01	0.078	0	0	0	0	0.028	0.006	""	bruno [Source:VB Community Annotation]
AGAP000342	0	0.017	0.003	0	0	0.231	0.005	0.057	0.066	0.859	0.329	0.269	0.04	0.657	0.258	0	0.009	0	""	inhibin, beta [Source:VB Community Annotation]
AGAP007065	0	0	0.53	0	0.053	0.484	0.771	0.271	0.121	0.862	0.4	0.963	0.378	0.507	0.75	0.008	0.283	0	""	transcription factor CP2 and related proteins [Source:VB Community Annotation]
AGAP004581	0	0.943	0	0	0.001	0	0	0.245	0.566							0	0	0.159	""	heat shock protein 70kDa [Source:VB Community Annotation]
AGAP010260	0	0.11	0	0	0.727	0.674	0.014	0.091	0	0.826	0.074	0.771	0.052	0.383	0.008	0.553	0.682	0.001	""	""
AGAP001200	0	0.027	0.372	0.662	0.57	0.383	0	0	0	0.014	0.813	0.001	0.853	0	0.554	0.75	0.024	0.031	""	glycogen debranching enzyme [Source:VB Community Annotation]
AGAP004827	0	0.001	0	0	0	0.559	0.517	0.005	0	0.105	0.166	0.552	0.004	0.444	0.046	0.073	0.03	0.001	""	""
AGAP004066	0	0.663	0	0	0.027	0.303	0.821	0.785	0.176	0.035	0.908	0.123	0.431	0.007	0.742	0.781	0.971	0.191	""	neurexin [Source:VB Community Annotation]
AGAP002529	0	0.023	0	0.072	0.213	0.493	0.907	0.296	0.008	0.245	0.865	0.561	0.252	0.754	0.495	0.104	0.78	0	""	phosphatidylinositol phospholipase C, epsilon [Source:VB Community Annotation]
AGAP006260	0	0.786	0	0.157	0.33	0.542	0	0	0	0.126	0.001	0.436	0	0.213	0	0.026	0.001	0	""	Z band alternatively spliced PDZ-motif protein 66 [Source:VB Community Annotation]
AGAP000965	0	0.197	0	0	0	0.643	0.83	0.477	0.149	0.899	0.033	0.859	0.018	0.252	0	0.048	0.691	0	""	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]
AGAP001800	0	0.001	0	0.009	0.032	0.326	0.746	0.655	0.181	0.292	0.016	0.321	0.028	0.057	0.002	0.005	0.43	0	""	Synaptotagmin [Source:VB Community Annotation]
AGAP002176	0	0.153	0	0	0.362	0.92	0.001	0.004	0.001	0.758	0.167	0.471	0.065	0.037	0.003	0.101	0.285	0	""	proprotein convertase subtilisin/kexin type 2 [Source:VB Community Annotation]
AGAP005507	0	0	0	0.628	0.077	0.821	0.03	0	0	0.887	0.035	0.921	0.047			0.176	0.587	0	""	synaptic vesicle-associated integral membrane protein [Source:VB Community Annotation]
AGAP002150	0	0.016	0	0.412	0.082	0.58	0.997	0.567	0.109	0.575	0.484	0.698	0.455	0.319	1	0.199	0.358	0	""	hyperpolarization activated cyclic nucleotide-gated potassium channel 2 [Source:VB Community Annotation]
AGAP000460	0	0.002	0	0	0.122	0.169	0.016	0.986	0.772	0.169	0.624	0.153	0.506	0.171	0.634	0	0.761	0	""	""
AGAP010498	0	0	0.627	0.631	0.008	0	0.014	0	0	0.022	0.375	0.329	0.011	0.087	0.011	0.978	0.017	0	""	RNA 3'-terminal phosphate cyclase-like protein [Source:VB Community Annotation]
AGAP003204	0	0	0	0.044	0.126	0.594	0.237	0.007	0.001	0.972	0.018	0.971	0.059	0.495	0.027	0.068	0.735	0	""	""
AGAP000104	0	0.034	0	0.765	0	0.876	0.033	0.478	0.38	0.505	0.08	0.043	0	0	0	0.851	0	0	""	""
AGAP004243	0	0.401	0.001	0	0.597	0.001	0.019	0	0	0.716	0.168	0.217	0.014	0.067	0.005	0.001	0	0.563	""	""
AGAP008143	0	0.17	0	0.204	0.129	0	0	0	0	0.421	0	0.643	0.003	0	0	0.882	0	0	""	""
AGAP010722	0	0	0.194	0.627	0.063	0	0	0	0	0.859	0.004	0.488	0	0.074	0	0.511	0	0.767	""	""
AGAP008227	0	0.032	0.122	0.573	0.001	0	0	0	0	0.071	0.805	0.024	0.792	0.082	0.922	0.503	0	0	""	trehalose 6-phosphate synthase/phosphatase [Source:VB Community Annotation]
AGAP005892	0	0	0.873	0	0	0.972	0.427	0.737	0.982	0.001	0	0.004	0	0	0	0.252	0.14	0.375	""	importin beta-2 [Source:VB Community Annotation]
AGAP004476	0	0	0	0.017	0.282	0.808	0.551	0.002	0	0.248	0	0.026	0	0.076	0	0	0.042	0	""	solute carrier family 18 (vesicular monoamine), member 2 [Source:VB Community Annotation]
AGAP002291	0	0.864	0.046	0.015	0.5	0.877	0.514	0	0	0.158	0.276	0.916	0.874	0.437	0.24	0.08	0.1	0	""	ebony [Source:VB Community Annotation]
AGAP007003	0	0.093	0.135	0.001	0.471	0	0	0.002	0	0.135	0	0.053	0	0.271	0	0.407	0.449	0.847	""	""
AGAP007593	0	0.383	0	0	0	0.001	0.285	0.978	0.139	0.861	0	0.87	0	0.35	0	0.438	0	0.017	""	glycerol-3-phosphate dehydrogenase (NAD+) [Source:VB Community Annotation]
AGAP006108	0	0	0.578	0	0	0.784	0	0.66	0.314	0.299	0.897	0.093	0.754	0.001	0.238	0.077	0.837	0	""	""
AGAP000213	0	0.05	0	0	0	0.803	0.395	0.781	0.017	0.979	0.003	0.7	0.005	0.019	0	0.227	0.001	0	""	ankyrin repeat and SOCS box protein 17 [Source:VB Community Annotation]
AGAP000835	0	0	0.031	0.226	0.416	0.017	0.879	0.128	0.004	0.697	0.242	0.674	0.002	0.421	0.002	0.232	0.003	0	""	""
AGAP005916	0	0	0.937	0.085	0	0.071	0.897	0.575	0.269	0.374	0.343	0.026	0.926	0.438	0.318	0.878	0.829	0.148	""	ubiquitin-conjugating enzyme E2 M [Source:VB Community Annotation]
AGAP010675	0	0.006	0	0.009	0.261	0.075	0.024	0.003	0.031	0.069	0.098	0.002	0.006	0.013	0.014	0	0.02	0	LRIM18	leucine-rich immune protein (Coil-less) [Source:VB Community Annotation]
AGAP009518	0	0.016	0	0.088	0.458	0.908	0.903	0.594	0.292	0.448	0.078	0.233	0.193	0.813	0.011	0	0.096	0	""	""
AGAP011832	0	0.078	0.666	0.108	0.873	0.015	0.148	0.558	0.342	0.057	0.619	0.187	0.481	0.136	0.323	0.321	0.645	0	""	Death-associated protein 1 [Source:VB Community Annotation]
AGAP010122	0	0	0.971	0.685	0	0.971	0.564	0.049	0	0.107	0.184	0.034	0.061	0.001	0.002	0.789	0	0	CPR132	cuticular protein RR-2 family 132 [Source:VB Community Annotation]
AGAP007801	0	0.004	0.005	0	0	0.001	0.481	0.471	0	0.025	0.005	0	0.034	0	0.042	0.057	0	0	""	vrille [Source:VB Community Annotation]
AGAP006637	0	0	0	0.155	0.185	0.854	0.682	0.33	0.467	0.228	0.76	0.019	0.381	0.098	0.75	0.753	0.04	0	""	Oatp58Dc [Source:VB Community Annotation]
AGAP005884	0	0	0.002	0.012	0.027	0.12	0.061	0.983	0.033	0.837	0.995	0.773	0.953	0.972	0.692	0.788	0.016	0.586	""	sphingomyelin synthase-related 1 [Source:VB Community Annotation]
AGAP005033	0	0.012	0.031	0.129	0.648	0.661	0.828	0.182	0.041	0.216	0.002	0.12	0.001	0.001	0	0.77	0.373	0	""	U3 small nucleolar RNA-associated protein 20 [Source:VB Community Annotation]
AGAP006460	0	0	0.957	0	0	0.046	0	0.245	0.383	0	0	0	0	0	0	0.029	0.587	0.978	""	""
AGAP009447	0	0	0.025	0	0.017	0.046	0	0	0	0.009	0.935	0	0.262	0	0.184	0	0.061	0	""	S-adenosylmethionine synthetase [Source:VB Community Annotation]
AGAP002789	0	0	0	0.014	0.241	0	0.728	0.708	0.002	0.082	0.149	0.457	0.007	0.128	0.008	0.001	0.448	0	""	""
AGAP000637	0	0	0	0.005	0.002	0.777	0.015	0.051	0.002	0.2	0.038	0.09	0.009	0.007	0.001	0.128	0.794	0	""	solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) [Source:VB Community Annotation]
AGAP005674	0	0	0	0	0.061	0.958	0.672	0.132	0.052	0.736	0.007	0.998	0.006	0.827	0.014	0.001	0.684	0	""	Miple [Source:VB Community Annotation]
AGAP012201	0	0.014		0	0	0.015	0	0.006	0.021							0.257	0	0	""	Histone H2B [Source:UniProtKB/Swiss-Prot;Acc:Q27442]
AGAP000970	0	0	0.001	0.012	0.532	0.723	0.394	0.073	0.002	0.725	0.63	0.758	0.563	0.841	0.404	0.093	0.682	0	""	DnaJ homolog subfamily C [Source:VB Community Annotation]
AGAP006452	0	0	0	0.721	0.933	0.741	0.3	0.329	0.971	0.013	0	0.012	0	0.191	0	0.858	0	0	""	""
AGAP009183	0	0.001	0	0.235	0.122	0.233	0.198	0.255	0.007	0.917	0.19	0.435	0.037	0.105	0.005	0	0.369	0	""	defective proboscis extension response [Source:VB Community Annotation]
AGAP006404	0	0	0.004	0.095	0.067	0.967	0.002	0.912	0.202	0.802	0.647	0.293	0.316	0.144	0.247	0.004	0	0.713	""	""
AGAP006165	0	0	0.176	0	0	0.763	0.569	0.06	0.023	0	0	0	0	0	0	0.748	0.751	0.254	""	E1A-binding protein p400 [Source:VB Community Annotation]
AGAP000308	0	0	0.437	0.051	0	0.715	0.347	0.376	0.017	0.31	0.167	0.616	0	0.911	0.015	0.007	0	0	""	proteasome activator subunit 3 (PA28 gamma) [Source:VB Community Annotation]
AGAP010930	0	0.033	0.392	0	0.014	0.089	0.598	0.306	0.002	0.004	0.004	0.005	0.005	0.022	0.031	0	0.96	0	""	""
AGAP002184	0	0.209	0	0	0.08	0.901	0.011	0.062	0	0.88	0.084	0.898	0.012	0.444	0.018	0.211	0.844	0.002	""	""
AGAP002366	0	0	0	0	0.227	0.804	0.395	0.019	0.001	0.828	0.026	0.933	0.003	0.614	0.021	0.064	0.731	0	""	high affinity choline transporter [Source:VB Community Annotation]
AGAP008993	0	0.273	0	0.411	0.355	0.565	0.279	0.212	0.016	0.532	0.208	0.498	0.225	0.831	0.059	0	0.336	0	""	ITG-containing peptide [Source:VB Community Annotation]
AGAP002577	0	0.004	0	0	0.743	0.937	0.65	0.263	0.032	0.279	0	0.103	0	0.384	0.003	0.257	0.432	0	""	voltage-dependent p/q type calcium channel [Source:VB Community Annotation]
AGAP011280	0	0	0	0.036	0.03	0.924	0.65	0.91	0.565	0.1	0.061	0	0.001	0.001	0.001	0.291	0.897	0	""	""
AGAP007033	0	0.864	0.663	0	0.003	0.723	0	0	0	0.107	0.412	0.019	0.086	0.212	0.694	0.098	0.016	0	APL1C	Anopheles Plasmodium-responsive Leucine-Rich Repeat 1C [Source:VB Community Annotation]
AGAP007928	0	0	0	0.042	0.823	0.991	0.808	0.175	0.011	0.239	0.752	0.237	0.489	0.341	0.561	0.015	0.444	0	""	Turtle protein, isoform [Source:VB Community Annotation]
AGAP005292	0	0.02	0	0.011	0.314	0.25	0.234	0.191	0	0.129	0.83	0.14	0.684	0.005	0.592	0.002	0.941	0	""	nucleolysin TIA-1/TIAR [Source:VB Community Annotation]
AGAP007043	0	0.352	0.04	0	0.001	0.003	0.81	0.254	0.021	0.413	0.196	0.428	0.126	0.465	0.229	0.002	0	0	""	""
AGAP002377	0	0.008	0	0.908	0	0.142	0	0	0	0.241	0.111	0.045	0.015	0	0	0.015	0	0.007	""	fatty-acid amide hydrolase 2 [Source:VB Community Annotation]
AGAP008348	0	0.021	0	0.745	0.018	0.515	0.376	0.356	0	0.144	0.071	0.012	0.001	0.501	0.429	0.072	0.582	0	""	""
