GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Bouake_gamb_exp_v_Bouake_Ki_log2FoldChange	Bouake_gamb_unexp_v_Bouake_Ki_log2FoldChange	Bouake_col_exp_v_Bouake_Ng_log2FoldChange	Bouake_col_unexp_v_Bouake_Ng_log2FoldChange	ContTia_v_CDI_Ng_log2FoldChange	DeltTia_v_CDI_Ng_log2FoldChange	MalaTia_v_CDI_Ng_log2FoldChange	PiriTia_v_CDI_Ng_log2FoldChange	BusiaParental_v_Kisumu_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP028564	7.15	-2.89	-4.37	-3.92	5.74	8.57	-0.56	0.15	-1.19	-0.84	-4.36	4.16	-4.71	3.81	-3.74	4.76	-0.63	0.95	-0.83	-0.23	-0.57	0.59	0.69	-0.15	1.17	1.31	1.41	1.49	1.1	1.69	2.35	1.65	1.99	3.11	3.66	""	""
AGAP006017	1.46	-0.22	1.25	-0.16	1.48	1.32	0.12	-0.41	0	-0.05	1.07	1	1.21	1.12	1.6	1.52	-0.13	-0.2	-0.13	-0.1	-0.19	-0.68	-0.68	-0.5	-0.05	-0.08	0.2	-0.03	0.06	-0.33	-0.41	-0.47	-0.39	-0.09	-0.5	""	serine/threonine-protein phosphatase 6 regulatory subunit 3 [Source:VB Community Annotation]
AGAP000037	-1.67	-0.13	-0.41	1.01	-0.31	0	-0.64	-0.37	0.29	0.7	1.25	0.08	1.31	0.14	1.55	0.37	0.85	0.73	0.59	0.68	0.43	2.16	2	2.19	0.95	-0.68	-0.89	-0.64	-0.13	-0.62	-1.98	-1.2	-0.87	-0.29	1.11	""	""
AGAP011318	-1.25	0.02	-0.83	0.84	-0.17	0.22	-0.3	0.07	0.28	0.57	0	-0.51	-0.02	-0.53	-0.54	-1.06	0.36	0.39	0.51	0.41	0.53	0.27	0.28	0.16	-0.06	-0.49	-0.5	-0.15	-0.09	-0.89	-1.11	-0.73	-0.82	0.2	1.26	""	Synaptogyrin [Source:VB Community Annotation]
AGAP006434	4.82	3.29	0.35	-0.25	1.3	-3.85	0.46	2.05	4.25	3.74	0	1.77	-0.93	0.84	0.62	2.37	0.04	-0.45	-0.72	-0.96	-0.15	-1.43	-0.32	-1.7	2.26	-2.71	-1.45	-4.91	-5.99	-6.6	-5.33	-5.02	-5.63	1.17	-0.31	""	""
AGAP000363	-1.65	-0.08	-0.73	0.87	-0.16	0.27	-0.35	-0.39	0.46	0.76	0.05	-0.18	-0.02	-0.25	-0.08	-0.31	1.15	0.72	0.67	0.83	0.51	1.43	1.34	1.52	0.24	-0.84	-0.77	-0.89	-0.13	0.2	-0.79	-0.26	-0.09	0.01	1.42	""	""
AGAP008218	-2.65	-1.09	-0.48	2.12	-2.59	-4.37	-3.55	-1.67	-2.17	-1.61	-1.6	-1.92	-0.95	-1.27	-1.13	-1.46	0	-0.57	-0.78	-0.74	-0.56	-1.21	-1.95	-0.61	0.9	-1.9	-1.34	-5.69	-6.91	-6.29	-5.92	-7.02	-6.91	0.07	-0.68	CYP6Z2	cytochrome P450 [Source:VB Community Annotation]
AGAP008331	-2.13	0.21	0.13	0.62	-0.97	-1.71	-2.12	-1.85	-1.75	-1.42	-0.1	-1.04	-0.03	-0.98	0.04	-0.89	0.55	0.48	0.34	0.71	0.18	0.18	-0.17	0.31	0.09	-1.27	-1.04	-2.45	-2.23	-1.73	-1.47	-2.02	-1.59	-3.49	-4.51	""	WD repeat-containing protein 59 [Source:VB Community Annotation]
AGAP006729	1.59	-0.4	0.64	0.47	0.68	-0.39	0.56	0.18	1.08	1.3	-2.15	-1.42	-2.79	-2.06	-1.4	-0.68	0.25	-0.97	0.11	0.1	0.66	-1.37	-1.93	-1.82	-0.96	-0.34	0.07	-1.14	-1.48	-2.68	-1.6	-1.99	-1.97	0.69	1.23	""	Ester hydrolase C11orf54 [Source:VB Community Annotation]
AGAP006433	4.24	2.41	0.43	-0.09	0.61	-3.19	0.48	2.17	3.98	3.38	-0.5	1.03	-0.93	0.59	0.78	2.3	0.84	0.38	1.79	1.91	2.01	-1.3	-0.21	-1.41	1.53	-2.13	-1.06	-3.45	-4.5	-5.01	-4.11	-3.87	-4.29	1.46	0.05	""	""
AGAP003933	-1.46	-0.05	-0.38	1.25	-0.17	0.13	-0.36	0.01	0.15	0.31	0.33	-0.37	0.33	-0.37	0.27	-0.44	0.05	0.06	0.19	0.21	-0.16	1.46	1.4	1.13	-0.17	-0.92	-0.66	-0.95	0.05	-0.58	-1.64	-1.28	-1.02	-0.12	1.09	""	""
AGAP006339	1.91	-0.14	1.28	0.36	0.27	0.13	-0.12	-0.2	0.64	0.76	0.26	-0.06	0.16	-0.17	0.34	0.01	0.27	0.07	0.07	0.31	-0.06	0.19	-0.15	-0.03	0.07	0.04	0.37	0.35	-0.08	0.07	0.04	0.11	0.28	-0.19	-0.29	""	""
AGAP007285	-2.82	-1.51	-0.73	0.52	-0.21	0.57	0.01	-2.06	-2.32	-1.67	-2.3	1.16	-2.07	1.38	-2.1	1.35	-0.15	-0.36	-0.2	-0.2	0.09	0.59	0.09	0.8	-0.66	0.72	0.7	-0.21	0.01	-0.75	0.13	-0.67	-0.84	-0.02	0.31	""	alpha-L-fucosidase [Source:VB Community Annotation]
AGAP002790	-1.12	0.23	-0.38	0.96	-0.26	-0.04	-0.21	-0.1	0.14	0.44	0.48	0.09	0.55	0.16	0.15	-0.24	-0.01	0.59	-0.06	0.24	-0.16	0.88	0.65	0.6	-0.37	-0.52	-0.56	-0.19	0.13	-0.83	-1.52	-0.99	-0.9	-0.12	0.93	""	amyloid beta A4 protein [Source:VB Community Annotation]
AGAP008291	3.53	2.66	0.59	-1.56	1.41	-2.32	1.55	2.4	4.91	6.93	-2.14	-1.97	-1.52	-1.37	-1.34	-1.18	1.27	-1.39	1.01	-0.63	1.46	-0.99	-2.71	-1.98	1.17	-1.13	1.61	-1.12	-3.03	-3.83	-3.41	-3.03	-3.3	2.56	1.04	TRYP5	trypsin 5 [Source:VB Community Annotation]
AGAP005978	1.35	-0.11	0.47	-0.5	0.97	1.12	0.24	-0.29	0.27	0.28	-0.23	1.18	0.02	1.41	0.18	1.58	-0.13	-0.28	-0.19	-0.18	-0.26	-0.07	-0.21	0.1	0.25	0.59	0.67	0.49	0.94	1.82	1.54	1.64	1.88	-0.33	-0.61	""	zinc finger and SCAN domain containing 2 [Source:VB Community Annotation]
AGAP000792	1.17	-0.63	0.96	0.37	0.42	-0.84	-0.46	-0.41	0.34	0.24	1.14	1.08	0.74	0.67	1.69	1.62	0.03	0	0.13	-0.06	0.18	-0.78	-0.35	-0.57	-0.02	-0.75	0.49	-0.27	-1.22	-1.15	-0.72	-0.94	-0.87	0.01	-0.43	""	Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q7QE71]
AGAP011475	5.59	-2.69	8.65	1.35	-1.59	-0.88	8.04	7.09	6.48	4.64	-0.36	-3.14	1.81	-0.96	-2.54	-5.3	1.07	0.77	-0.21	-0.69	0.48	-1.04	-1.46	-4.09	-3.12	-2.38	-1.69	4.35	4.52	4.6	5.08	4.24	4.89	-2.89	-3.36	""	Envelysin [Source:VB Community Annotation]
AGAP003400	-0.98	-0.21	-0.4	1.33	-0.38	-0.09	-0.28	-0.14	0.13	0.27	0.12	-0.76	0.31	-0.57	-0.38	-1.26	0.1	0.25	0.41	0.28	0.32	0.5	0.11	0.39	-0.32	-0.62	-0.6	-0.24	-0.13	-0.24	-0.82	-0.38	-0.16	-0.09	0.94	""	""
AGAP005783	1.89	-0.59	0.88	-0.31	1.01	0.83	0.06	0.12	1	1.03	0.54	0.86	0.7	1.01	1.06	1.37	-0.01	-0.18	-0.21	-0.11	-0.38	-0.16	-0.38	-0.14	1.02	-0.16	0.22	-0.3	-0.12	0.62	0.19	0.37	0.89	0.51	1.17	""	""
AGAP004209	-1.17	0.25	-0.61	0.72	-0.13	0.13	-0.35	-0.21	0.07	0.35	0.75	0.09	0.33	-0.35	0.45	-0.22	0.94	0.73	0.53	0.69	0.38	1.13	1.13	1.09	0.31	-0.71	-0.48	-0.52	0.07	-0.79	-1.49	-1.02	-0.99	0.24	1.3	""	diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]
AGAP000203	-1.07	-0.34	-0.31	0.42	0.01	0.42	-0.29	-0.05	-0.01	0.17	0.14	-0.22	0.24	-0.13	-0.16	-0.53	0.15	0.05	0.2	0.23	0.2	0.22	-0.16	0.31	0.59	-0.13	-0.08	-0.25	-0.08	-0.26	-0.42	-0.15	-0.03	0.16	0.58	""	inositol-1,4,5-trisphosphate 5-phosphatase [Source:VB Community Annotation]
AGAP008486	-1.45	0.08	-0.83	0.69	0.23	0.47	-0.71	-0.38	-0.25	0.09	0.5	0.34	0.33	0.16	-0.1	-0.27	0.27	0.22	0	0.11	-0.09	1.52	1.32	1.29	1.09	-0.38	-0.41	-0.42	0.33	0.46	-0.25	0.37	0.48	0.32	1.04	""	Palmitoyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7Q4M4]
AGAP006935	2.09	-0.95	0.99	-0.69	0.09	0.35	0.23	-0.61	0.21	0.25	0.75	1.39	1.03	1.66	1.53	2.16	-0.25	-0.33	-0.3	-0.29	-0.52	-0.93	-0.93	-0.91	0.2	0.45	0.85	0.84	0.95	1.83	2.56	1.82	2.22	-0.93	-1.55	""	""
AGAP004870	1.25	-0.21	0.67	-0.39	-0.09	0.11	0.4	-0.31	0.03	0.07	0.48	0.67	0.58	0.76	0.61	0.8	0.03	-0.1	-0.17	-0.1	-0.06	-0.7	-0.58	-0.55	0.68	0.5	0.65	0.64	0.73	0.67	1.33	0.67	0.81	-0.16	-0.83	""	tripeptidyl-peptidase II [Source:VB Community Annotation]
AGAP008083	-1.81	0.42	-0.2	1.02	-0.72	0.32	0.54	1.29	1.2	0.86	0.55	-0.61	0.98	-0.19	0.63	-0.54	1.37	0.63	1.57	1.24	1.29	0.03	1.27	0.78	-0.23	-1.74	0.39	-1.71	0.22	-0.96	-2.08	-2.51	-2.29	0.13	0.7	""	""
AGAP008538	-1.37	0.1	-0.63	1.35	-0.53	-0.18	-0.24	0.25	0.62	0.82	0.45	-0.09	0.48	-0.06	0.18	-0.36	0.94	0.6	0.58	0.6	0.33	1.28	0.92	1.36	0.32	-0.37	-0.38	-0.44	-0.04	-0.26	-1.27	-0.65	-0.56	-0.16	1.12	""	""
AGAP003373	1.98	-0.93	1.35	0.29	0.23	0.24	2.18	1.22	1.67	1.58	0.83	0.12	0.82	0.09	0.08	-0.64	0.1	-0.31	0.06	-0.26	-0.24	-0.98	-0.63	-0.55	0.17	-0.19	0.68	1.34	1.47	1.26	1.42	0.63	1.26	-0.8	-1.25	SCRB17	Class B Scavenger Receptor (CD36 domain) [Source:VB Community Annotation]
AGAP001883	-1.02	-0.15	0.12	-0.11	0.45	-0.47	-0.46	-0.27	0.17	0.16	0.59	1.27	1.06	1.74	1.06	1.74	0.27	0.19	0.46	0.37	0.26	0.35	0.21	0.56	0.15	0.34	0.18	0.16	0.5	0.7	-0.21	0.3	0.6	-0.39	-0.48	""	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]
AGAP012982	-1	0.04	-0.5	1.03	-0.33	-0.24	-0.33	0.72	0.51	0.41	0.41	-0.94	0.65	-0.7	-0.48	-1.85	0.37	0.19	0.63	0.6	0.55	0.5	0.57	0.53	-0.42	-1.14	-0.85	-1.08	-1.14	-1.22	-1.13	-1.27	-0.68	-0.35	0.87	GPROP3	long wavelength sensitive opsin [Source:VB Community Annotation]
AGAP004033	-1.17	-0.03	-0.43	1.21	-0.18	0.01	0.02	0	0.4	0.59	0.42	-0.09	0.25	-0.27	0.04	-0.48	0.37	0.36	0.2	0.43	0.08	0.97	0.64	0.58	-0.01	-0.55	-0.43	-0.33	0.11	-0.13	-0.82	-0.2	-0.18	0.35	1.57	""	""
AGAP000065	-1.3	-0.18	-0.21	0.87	0.07	0.25	-0.45	-0.08	0.46	0.74	0.08	-0.03	-0.03	-0.14	-0.02	-0.14	0.73	0.37	0.36	0.51	0.12	2.66	1.86	2.93	-0.18	-0.08	0.12	-0.58	-0.44	0.25	-0.67	-0.08	0.16	0.11	1.01	""	""
AGAP003318	-1.4	0.12	-0.65	1.01	-0.13	0.13	-0.57	-0.99	0.29	0.51	0.61	-0.31	0.52	-0.41	0.48	-0.45	0.81	0.63	0.71	0.74	0.56	0.91	0.6	1	0.49	-0.53	-0.54	-0.53	-0.11	-0.24	-0.9	-0.3	-0.15	0.37	1.59	""	""
AGAP002089	-1.25	0.06	-0.22	1.46	-0.73	-0.05	0.23	0.78	0.81	0.93	-0.3	-0.27	-0.54	-0.52	-0.9	-0.88	0.42	0.35	0.65	0.48	0.6	0.55	0.56	0.71	-0.47	-0.43	0.05	-0.01	0.3	-0.3	-1.2	-0.71	-0.54	-0.34	0.73	""	""
AGAP006961	1.51	0.87	0.63	-1.24	0.29	1.54	0.96	0.96	0.87	0.62	0.63	0.53	0.82	0.7	0.61	0.5	1.74	1.67	2.06	1.88	2.13	-1.17	-0.86	-0.37	0.65	1.74	2.91	1.88	1	2.64	2.69	1.07	0.85	1.12	2.86	""	molecular chaperone HtpG [Source:VB Community Annotation]
AGAP000449	-1.28	-0.51	-0.01	1.47	-0.56	-0.28	-0.54	-0.53	0.05	0.37	0.54	-0.04	0.62	0.02	0.38	-0.22	0.08	0.3	0.17	0.32	0.07	0.1	0.09	0.11	0.38	-0.5	-0.24	0.02	-0.01	0.05	-1.13	-0.36	0.11	-0.62	0.57	""	""
AGAP006480	1.84	-1.39	1.28	-0.85	0.38	1.55	0.06	-2.47	-3.07	-2.89	-0.91	1.1	-2	0.02	-2.14	-0.15	0.42	-0.46	0.04	1.31	0.95	-1.59	-0.51	-1.78	-1.08	0.43	-0.21	0.22	1.36	-1.82	-0.82	-0.85	-1.59	3.32	3.78	""	""
AGAP009995	-1.25	-0.19	-0.47	1.33	-0.2	0.63	-0.2	0.31	0.22	0.41	0.14	-0.21	0.13	-0.23	-0.08	-0.43	0.55	0.37	0.54	0.46	0.39	1.31	1.16	1.28	0.09	-0.03	-0.01	0.01	0.45	0.22	-0.23	0.09	0.04	-0.23	0.77	""	anoctamin 10 [Source:VB Community Annotation]
AGAP005845	0.91	-0.47	1.02	0.32	0.13	0.03	0.33	0.23	0.53	0.44	-0.13	-0.39	-0.1	-0.37	0.21	-0.06	0.23	0.26	0.45	0.45	0.59	-0.44	-0.4	-0.26	-0.13	-0.08	0.57	0.37	-0.29	-1	-0.26	-0.74	-0.73	-0.15	-0.31	""	V-type H+-transporting ATPase subunit C [Source:VB Community Annotation]
AGAP006699	1.83	0.1	1.37	0.04	0.83	-0.33	-0.85	-0.34	-0.37	-0.41	0.48	-0.59	0.38	-0.7	0.78	-0.29	-0.2	0.21	0.29	0.29	0.1	-1.35	-0.44	-0.57	-0.04	-1.33	-0.84	-1.05	-1.52	-1.71	-2.29	-1.55	-0.9	0.86	0.82	""	hairy and enhancer of split, invertebrate [Source:VB Community Annotation]
AGAP006460	0.82	-0.25	0.89	-0.06	0.76	0.8	-0.63	-1.32	-0.43	-0.4	1.27	1.74	1.55	2.01	2.1	2.57	-0.15	-0.23	-0.19	-0.16	-0.3	0.56	0.76	0.61	0	0.14	0.31	-0.01	0.15	-0.09	-0.33	-0.19	-0.13	0.06	-0.09	""	""
AGAP007086	-1.46	-0.02	-0.53	0.94	-0.28	0.15	-0.36	0.15	0.45	0.85	0.94	-0.03	0.57	-0.41	1.02	0.04	1.18	0.97	0.91	0.74	0.58	1.66	1.52	1.92	0.17	-0.95	-0.7	-0.54	-0.02	0.14	-1.25	-0.58	-0.5	-0.09	0.95	""	Sodium channel protein [Source:UniProtKB/TrEMBL;Acc:Q7QIV0]
AGAP011832	0.69	-0.06	0.22	-0.01	0.1	-0.02	0.22	0.04	0.03	0.01	-0.37	0.16	-0.33	0.19	-0.29	0.24	-0.63	-0.53	-0.19	-0.57	-0.3	0.07	0.07	0.35	-1.14	-0.02	0.13	0.16	-0.1	0.06	0.31	0.17	0.12	-0.15	-0.38	""	Death-associated protein 1 [Source:VB Community Annotation]
AGAP009598	-1.28	-0.22	-0.45	0.96	-0.47	-0.34	-0.57	0	0.26	0.69	1.1	-0.21	1.18	-0.14	1.12	-0.2	0.36	0.17	0.19	0.15	-0.05	0.83	0.44	0.73	0.15	-0.9	-0.8	-0.39	-0.36	-0.76	-1.65	-1.02	-0.69	0.02	0.9	""	voltage-dependent calcium channel alpha-2/delta, invertebrate [Source:VB Community Annotation]
AGAP029047	-1.35	-0.64	-0.06	1	-0.18	-0.14	-0.4	-0.35	0.12	0.36	0.59	0.12	0.45	-0.03	0.59	0.11	0.72	0.45	0.33	0.37	0.05	2	1.72	1.82	0.06	-0.45	-0.24	0	0.03	0.82	-0.67	0.09	0.46	-0.48	0.54	""	""
AGAP001474	-1.19	-0.05	-0.28	0.88	-0.13	0.27	-0.17	1.01	0.23	0.28	-0.25	-0.49	-0.42	-0.66	-0.84	-1.07	-0.19	-0.08	0.17	0.11	-0.08	1.13	1.22	1.25	0.31	-1.05	-0.72	-0.73	-0.5	-0.75	-1.21	-0.96	-1.05	-0.77	0	MSN	myosuppressin [Source:VB Community Annotation]
AGAP010260	-1.24	0.01	-0.26	1.3	-0.56	-0.09	-0.26	0.47	0.4	0.81	0.07	-0.57	0.08	-0.57	-0.39	-1.04	0.15	0.23	0.55	0.34	0.29	1.08	0.99	1.19	0.18	-0.38	-0.28	-0.04	0.1	-0.93	-1.46	-1.08	-1.08	-0.35	0.37	""	""
AGAP007127	-1.28	0	-0.83	0.75	-0.29	0.04	-0.12	-0.11	0.57	0.91	0.4	-0.35	0.38	-0.37	0.53	-0.23	0.79	0.68	0.59	0.58	0.44	0.08	0.11	0.01	-0.2	-0.61	-0.62	-0.59	-0.11	-1.1	-1.93	-1.15	-1.12	0.37	1.24	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP013149	-1.19	0.2	-0.56	0.52	-0.16	-0.05	-0.71	0.71	-0.03	-0.22	0.33	-1.18	0.44	-1.07	-0.44	-1.96	1.01	1.06	1.27	1.13	1.22	0.5	0.57	0.53	-0.42	-1.55	-1.04	-1.44	-1.92	-1.91	-2.23	-2.12	-1.89	0.29	0.56	GPROP1	long wavelength sensitive opsin [Source:VB Community Annotation]
AGAP002529	-1.13	0.03	-0.43	0.8	-0.23	-0.2	-0.37	-0.19	0.35	0.81	0.39	-0.02	0.17	-0.25	0.16	-0.26	0.88	0.63	0.94	0.8	0.51	0.99	1.2	0.73	-0.27	-0.73	-0.61	-0.5	-0.13	-0.31	-1.37	-0.58	-0.46	-0.14	0.81	""	phosphatidylinositol phospholipase C, epsilon [Source:VB Community Annotation]
AGAP000805	-1.23	0.33	-0.89	0.83	-0.21	0.03	-0.87	-1.03	0.04	0.34	0.29	0	0.28	-0.02	0.18	-0.12	0.94	0.62	0.64	0.63	0.34	1.42	1.13	1.14	-0.92	-0.67	-0.82	-0.65	0.03	-0.16	-1.32	-0.46	-0.35	0.17	1.64	""	BTB/POZ domain-containing protein KCTD16 [Source:VB Community Annotation]
AGAP002291	-1.05	-0.43	0.05	0.29	-0.28	-0.13	-0.02	-0.33	-1.37	-1.51	0.46	-0.41	-0.01	-0.88	-0.4	-1.29	0.96	0.52	1.35	0.99	1.18	0.25	0.2	0.55	-0.24	-0.28	0.37	-0.3	-0.34	-0.77	-1.29	-0.83	-1.41	1.01	1.39	""	ebony [Source:VB Community Annotation]
AGAP000232	-1.41	-0.33	-0.82	0.61	-0.24	0.01	-0.57	-0.73	0.28	0.6	1.1	-0.29	1.04	-0.36	1.39	0	0.79	0.63	0.63	0.55	0.33	1.48	1.32	1.33	0.13	-0.64	-0.66	-0.46	-0.04	-0.77	-1.69	-0.95	-0.88	-0.08	1.06	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP005866	-1.32	-0.53	-0.67	2.04	-0.67	-0.41	0.13	0.49	0.96	1.29	-0.24	-0.68	-0.14	-0.59	-0.42	-0.87	0.98	0.63	0.78	1.06	1	1.1	1.08	0.99	-0.12	-0.08	0.02	0.42	0.46	-0.98	-1.37	-1.1	-0.83	-1.01	0.33	""	glutamate decarboxylase [Source:VB Community Annotation]
AGAP006478	1.37	-0.37	1.04	-0.17	1.1	1.3	-0.44	-0.88	-0.56	-0.55	1.51	1.32	1.41	1.21	1.64	1.46	-0.16	-0.29	0.09	0.03	-0.06	-0.25	0.05	-0.05	0.2	0.29	0.26	0.12	0.52	1.03	0.85	0.65	0.97	-0.15	-0.09	""	Synaptic vesicle membrane protein VAT-1 homolog-like [Source:VB Community Annotation]
AGAP005254	-1.38	0.42	-0.86	0.77	0.01	0.37	-0.15	0.1	0.85	1.33	0.67	-0.83	1.01	-0.48	0.8	-0.71	0.93	0.8	0.75	0.76	0.63	1.79	1.65	1.52	0.26	-0.46	-0.55	-0.57	0.09	-1.05	-2.26	-1.26	-1.25	0.26	1.76	""	""
AGAP005244	-0.61	0.3	-0.09	0.31	-0.23	-0.19	-0.39	-0.45	0.11	0.19	0.56	0.78	0.65	0.87	0.65	0.86	-0.03	-0.27	0.01	-0.13	-0.49	-0.55	-0.61	-0.58	-0.44	-0.32	-0.14	-0.29	0.02	-0.28	-0.9	-0.37	-0.25	-0.07	0.3	""	""
AGAP028513	-2.11	-0.12	-1.04	1.22	-0.87	-0.25	-1.14	-0.4	0.38	0.26	0.05	-0.53	-0.39	-0.97	-0.11	-0.69	0.17	0.37	0.26	0	0	1.47	1.25	1.74	0.49	-1.68	-1.36	-1.12	-0.87	-0.03	-1.35	-0.65	-0.49	-1.08	0.19	""	""
